Epoch,Loss,Train Accuracy,Test Accuracy,Time,Final Test Accuracy
1.0,1.281412959098816,0.6644583333333334,0.6704166666666667,0.19485044479370117,0.847
2.0,0.96290522813797,0.7017083333333334,0.706,0.11162686347961426,0.847
3.0,0.8167427182197571,0.7316041666666667,0.7355,0.10166001319885254,0.847
4.0,0.7301905751228333,0.7534583333333333,0.7530833333333333,0.10465002059936523,0.847
5.0,0.671740710735321,0.7692291666666666,0.7683333333333333,0.1375417709350586,0.847
6.0,0.6290774941444397,0.7804791666666666,0.7786666666666666,0.10564637184143066,0.847
7.0,0.596301794052124,0.789375,0.7861666666666667,0.10166072845458984,0.847
8.0,0.5701749920845032,0.7955208333333333,0.7949166666666667,0.10066413879394531,0.847
9.0,0.548748791217804,0.8019791666666667,0.8000833333333334,0.10464930534362793,0.847
10.0,0.5307742357254028,0.8061041666666666,0.8033333333333333,0.1046452522277832,0.847
11.0,0.5154120326042175,0.8099375,0.80675,0.10265660285949707,0.847
12.0,0.5020778179168701,0.8133333333333334,0.8108333333333333,0.09867024421691895,0.847
13.0,0.4903520345687866,0.8165625,0.8125,0.09667658805847168,0.847
14.0,0.4799260199069977,0.81975,0.8150833333333334,0.10176992416381836,0.847
15.0,0.47056844830513,0.8221875,0.8179166666666666,0.09767627716064453,0.847
16.0,0.46210184693336487,0.8247916666666667,0.8193333333333334,0.09667515754699707,0.847
17.0,0.4543885290622711,0.8268333333333333,0.82225,0.09966731071472168,0.847
18.0,0.44731977581977844,0.8284583333333333,0.8231666666666667,0.09919071197509766,0.847
19.0,0.44080808758735657,0.8296458333333333,0.8244166666666667,0.09867215156555176,0.847
20.0,0.43478289246559143,0.831,0.826,0.09767365455627441,0.847
21.0,0.4291855990886688,0.8326041666666667,0.82775,0.09781813621520996,0.847
22.0,0.4239676296710968,0.8344166666666667,0.8291666666666667,0.09875226020812988,0.847
23.0,0.41908809542655945,0.8357083333333334,0.83025,0.09860086441040039,0.847
24.0,0.41451236605644226,0.8368125,0.83125,0.09876847267150879,0.847
25.0,0.41021034121513367,0.8380625,0.8326666666666667,0.0966041088104248,0.847
26.0,0.406156450510025,0.8395,0.8336666666666667,0.09667730331420898,0.847
27.0,0.40232837200164795,0.8404583333333333,0.835,0.09766936302185059,0.847
28.0,0.39870643615722656,0.8413125,0.8359166666666666,0.09772753715515137,0.847
29.0,0.39527347683906555,0.8419583333333334,0.8371666666666666,0.09956908226013184,0.847
30.0,0.3920142352581024,0.8427916666666667,0.838,0.10075497627258301,0.847
31.0,0.3889152705669403,0.8435416666666666,0.8388333333333333,0.09796023368835449,0.847
32.0,0.3859645128250122,0.844375,0.8394166666666667,0.099212646484375,0.847
33.0,0.3831510543823242,0.8448333333333333,0.84025,0.09867024421691895,0.847
34.0,0.3804653584957123,0.8456875,0.841,0.09867024421691895,0.847
35.0,0.37789860367774963,0.8461458333333334,0.8415,0.10066366195678711,0.847
36.0,0.3754429817199707,0.8469166666666667,0.8419166666666666,0.09767341613769531,0.847
37.0,0.3730911314487457,0.8477291666666666,0.84225,0.09966683387756348,0.847
38.0,0.37083664536476135,0.848375,0.8430833333333333,0.09767293930053711,0.847
39.0,0.3686735928058624,0.84875,0.8435833333333334,0.10450410842895508,0.847
40.0,0.36659637093544006,0.849625,0.84425,0.09767580032348633,0.847
41.0,0.3646000623703003,0.8500416666666667,0.84475,0.09864425659179688,0.847
42.0,0.3626800775527954,0.8502916666666667,0.845,0.10055947303771973,0.847
43.0,0.36083218455314636,0.85075,0.8456666666666667,0.09970545768737793,0.847
44.0,0.3590521812438965,0.8512291666666667,0.8453333333333334,0.10107064247131348,0.847
45.0,0.35733678936958313,0.8518958333333333,0.84625,0.09966683387756348,0.847
46.0,0.35568249225616455,0.8522708333333333,0.8466666666666667,0.09667539596557617,0.847
47.0,0.3540862500667572,0.852625,0.84675,0.09766578674316406,0.847
48.0,0.3525449335575104,0.8531875,0.8465833333333334,0.09767460823059082,0.847
49.0,0.3510560095310211,0.8538541666666667,0.84675,0.09868025779724121,0.847
50.0,0.3496168553829193,0.8539583333333334,0.8465833333333334,0.09667658805847168,0.847
51.0,0.34822508692741394,0.8542291666666667,0.8465833333333334,0.09668850898742676,0.847
52.0,0.3468785583972931,0.8546458333333333,0.8468333333333333,0.09767293930053711,0.847
53.0,0.345575213432312,0.8549166666666667,0.84675,0.09667706489562988,0.847
54.0,0.3443128764629364,0.8552083333333333,0.8473333333333334,0.09804868698120117,0.847
55.0,0.3430898189544678,0.8555833333333334,0.84775,0.09764480590820312,0.847
56.0,0.3419044315814972,0.8559166666666667,0.8486666666666667,0.09866809844970703,0.847
57.0,0.3407548666000366,0.8562083333333333,0.849,0.10174560546875,0.847
58.0,0.33963969349861145,0.8564583333333333,0.8495,0.09977912902832031,0.847
59.0,0.3385574519634247,0.8566666666666667,0.85,0.10355353355407715,0.847
60.0,0.33750662207603455,0.8571875,0.8504166666666667,0.09766888618469238,0.847
61.0,0.33648601174354553,0.8576458333333333,0.85025,0.09874820709228516,0.847
62.0,0.33549442887306213,0.8579166666666667,0.85075,0.09969639778137207,0.847
63.0,0.3345305919647217,0.858125,0.851,0.0987703800201416,0.847
64.0,0.3335933983325958,0.858375,0.8513333333333334,0.10066676139831543,0.847
65.0,0.3326818346977234,0.8585833333333334,0.8518333333333333,0.0985713005065918,0.847
66.0,0.3317948281764984,0.8588125,0.8519166666666667,0.1127004623413086,0.847
67.0,0.3309314250946045,0.8591875,0.8520833333333333,0.11463451385498047,0.847
68.0,0.33009082078933716,0.8594166666666667,0.8523333333333334,0.11252474784851074,0.847
69.0,0.32927194237709045,0.8595625,0.8525833333333334,0.11362147331237793,0.847
70.0,0.3284741938114166,0.8598125,0.8526666666666667,0.11568760871887207,0.847
71.0,0.3276965618133545,0.859875,0.8530833333333333,0.11349177360534668,0.847
72.0,0.3269384503364563,0.8601875,0.853,0.11660957336425781,0.847
73.0,0.32619908452033997,0.8606041666666666,0.8528333333333333,0.11461377143859863,0.847
74.0,0.32547780871391296,0.8608541666666667,0.8534166666666667,0.11566400527954102,0.847
75.0,0.32477396726608276,0.8609583333333334,0.8536666666666667,0.11299777030944824,0.847
