Epoch,Loss,Train Accuracy,Test Accuracy,Time
1.0,0.4760993719100952,0.8530416666666667,0.8485833333333334,7.9270689487457275
2.0,0.3977104723453522,0.8716041666666666,0.862,8.388341426849365
3.0,0.3643863797187805,0.8802916666666667,0.8725833333333334,8.903230667114258
4.0,0.3427319824695587,0.8872916666666667,0.8765833333333334,9.710903406143188
5.0,0.3198201060295105,0.8929583333333333,0.8791666666666667,9.690906763076782
6.0,0.31921112537384033,0.8983333333333333,0.8816666666666667,11.272053956985474
7.0,0.31965669989585876,0.902375,0.8835,10.339766025543213
8.0,0.3147163391113281,0.907,0.8853333333333333,11.438223838806152
9.0,0.32397109270095825,0.9106458333333334,0.8859166666666667,14.876800775527954
10.0,0.33812475204467773,0.9137083333333333,0.88775,17.943270444869995
11.0,0.34948480129241943,0.9166041666666667,0.8894166666666666,17.60389232635498
