Epoch,Loss,Train Accuracy,Test Accuracy,Time
1.0,0.4418690502643585,0.816625,0.8155,0.854149341583252
2.0,0.37270471453666687,0.8433125,0.8395,0.6707639694213867
3.0,0.3396357595920563,0.8570833333333333,0.8514166666666667,0.6699268817901611
4.0,0.31684866547584534,0.8665,0.86075,0.633880615234375
5.0,0.2997330129146576,0.8729166666666667,0.8660833333333333,0.6298975944519043
6.0,0.2842329144477844,0.879125,0.8695,0.6269032955169678
7.0,0.2701072096824646,0.8838125,0.87325,0.6328830718994141
8.0,0.2577366232872009,0.8886875,0.8764166666666666,0.5821630954742432
9.0,0.24596208333969116,0.8928125,0.8786666666666667,0.6019885540008545
10.0,0.23556290566921234,0.896875,0.8801666666666667,0.6169371604919434
11.0,0.22513459622859955,0.8999375,0.88125,0.6398594379425049
12.0,0.21672289073467255,0.902375,0.8821666666666667,0.6249072551727295
13.0,0.2084665447473526,0.9056458333333334,0.8826666666666667,0.6169435977935791
14.0,0.20079843699932098,0.908125,0.8833333333333333,0.6229166984558105
15.0,0.1938818246126175,0.9101041666666667,0.8840833333333333,0.6249105930328369
16.0,0.185938760638237,0.9127708333333333,0.88475,0.61495041847229
17.0,0.179338276386261,0.915,0.8850833333333333,0.6209292411804199
18.0,0.17239773273468018,0.9164375,0.8854166666666666,0.6328837871551514
19.0,0.16667979955673218,0.91875,0.8855833333333333,0.6209139823913574
20.0,0.161234512925148,0.9200625,0.8856666666666667,0.6269023418426514
21.0,0.15528132021427155,0.9218333333333333,0.8860833333333333,0.6189279556274414
22.0,0.15063802897930145,0.9232291666666667,0.8875833333333333,0.6159403324127197
23.0,0.14643941819667816,0.9250625,0.8881666666666667,0.629899263381958
24.0,0.14268858730793,0.9266458333333333,0.888,0.6009891033172607
25.0,0.13804501295089722,0.9279791666666667,0.8881666666666667,0.6149501800537109
26.0,0.1348637342453003,0.9296666666666666,0.8875833333333333,0.608971118927002
27.0,0.13020145893096924,0.930875,0.8885833333333333,0.6229135990142822
28.0,0.12540604174137115,0.9324166666666667,0.8890833333333333,0.6179337501525879
29.0,0.12252853065729141,0.9336458333333333,0.8888333333333334,0.6199259757995605
30.0,0.11926209926605225,0.9349791666666667,0.8900833333333333,0.6289052963256836
31.0,0.116810142993927,0.9354375,0.8898333333333334,0.6219208240509033
32.0,0.11504589766263962,0.9346041666666667,0.88675,0.6239135265350342
33.0,0.11099004000425339,0.9365,0.8871666666666667,0.630889892578125
34.0,0.10703112930059433,0.9380208333333333,0.8874166666666666,0.6228048801422119
35.0,0.10413768142461777,0.9397708333333333,0.8888333333333334,0.6249160766601562
36.0,0.1002313569188118,0.9418125,0.8905833333333333,0.6119608879089355
37.0,0.09945128113031387,0.9442291666666667,0.891,0.6169357299804688
38.0,0.09844817966222763,0.9452083333333333,0.8911666666666667,0.612950325012207
39.0,0.09068906307220459,0.9474166666666667,0.8915,0.6239120960235596
40.0,0.0853370651602745,0.9495625,0.8925833333333333,0.6259148120880127
41.0,0.08158684521913528,0.9517083333333334,0.8933333333333333,0.6099603176116943
42.0,0.07873468846082687,0.9535208333333334,0.89375,0.6179361343383789
43.0,0.07722331583499908,0.9549166666666666,0.8939166666666667,0.6229145526885986
44.0,0.07457082718610764,0.956125,0.8949166666666667,0.6069686412811279
45.0,0.07255164533853531,0.9578541666666667,0.89575,0.596013069152832
46.0,0.07098408043384552,0.9594375,0.8961666666666667,0.6169319152832031
47.0,0.06935570389032364,0.9606041666666667,0.8956666666666667,0.6099672317504883
48.0,0.06946203857660294,0.9618333333333333,0.89625,0.6079754829406738
49.0,0.0683116614818573,0.9629583333333334,0.8963333333333333,0.6149358749389648
50.0,0.07139898091554642,0.9635,0.8965,0.6139461994171143
51.0,0.07966192811727524,0.9653125,0.89675,0.6109645366668701
52.0,0.10649264603853226,0.9663125,0.89875,0.6130611896514893
