mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_fit_intercept,param_intercept_scaling,param_penalty,param_random_state,param_solver,param_tol,param_warm_start,param_dual,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.012707769870758057,0.002376771265910399,0.007723808288574219,0.0036189440242263395,0.01,,True,1.0,l1,42,liblinear,0.0001,True,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'intercept_scaling': 1, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': True}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.8018018018018018,0.791257625338343,0.01346010101475592,1433,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7877428998505231,0.7912471022081398,0.004489302585739661
0.012956380844116211,0.0018646078793251944,0.005980372428894043,0.0009967088841918608,0.01,,True,1.0,l1,42,liblinear,0.0001,False,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'intercept_scaling': 1, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': False}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.8018018018018018,0.791257625338343,0.01346010101475592,1433,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7877428998505231,0.7912471022081398,0.004489302585739661
0.014451384544372559,0.0031916863323330365,0.006229758262634277,0.001294539309662546,0.01,,True,5.0,l1,42,liblinear,0.0001,True,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'intercept_scaling': 5, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': True}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.7792792792792793,0.7856269947077124,0.012551716905800878,1513,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7892376681614349,0.7916207942858677,0.004237191250534355
0.013454973697662354,0.0031912302070238657,0.00622934103012085,0.00043047134295450483,0.01,,True,5.0,l1,42,liblinear,0.0001,False,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'intercept_scaling': 5, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': False}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.7792792792792793,0.7856269947077124,0.012551716905800878,1513,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7892376681614349,0.7916207942858677,0.004237191250534355
0.01021665334701538,0.0010861865658356067,0.0054808855056762695,0.0004974617936337568,0.01,,True,10.0,l1,42,liblinear,0.0001,True,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'intercept_scaling': 10, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': True}",0.7802690582959642,0.8071748878923767,0.7623318385650224,0.7792792792792793,0.7822637660081606,0.016052505606764005,1515,0.7949101796407185,0.7859281437125748,0.7949101796407185,0.7892376681614349,0.7912465427888618,0.0038459529367874242
0.012458980083465576,0.0034887707151659234,0.006727874279022217,0.0014740472841978185,0.01,,True,10.0,l1,42,liblinear,0.0001,False,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': True, 'intercept_scaling': 10, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': False}",0.7802690582959642,0.8071748878923767,0.7623318385650224,0.7792792792792793,0.7822637660081606,0.016052505606764005,1515,0.7949101796407185,0.7859281437125748,0.7949101796407185,0.7892376681614349,0.7912465427888618,0.0038459529367874242
0.010466337203979492,0.0004984153084007743,0.005978405475616455,0.0007047799259362472,0.01,,False,1.0,l1,42,liblinear,0.0001,True,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': False, 'intercept_scaling': 1, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': True}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.8018018018018018,0.791257625338343,0.01346010101475592,1433,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7877428998505231,0.7912471022081398,0.004489302585739661
0.010712921619415283,0.00043225947143991927,0.006977498531341553,0.0009966493686643803,0.01,,False,1.0,l1,42,liblinear,0.0001,False,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': False, 'intercept_scaling': 1, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': False}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.8018018018018018,0.791257625338343,0.01346010101475592,1433,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7877428998505231,0.7912471022081398,0.004489302585739661
0.01046532392501831,0.0008635194827150124,0.004982352256774902,8.513246093443454e-07,0.01,,False,5.0,l1,42,liblinear,0.0001,True,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': False, 'intercept_scaling': 5, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': True}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.8018018018018018,0.791257625338343,0.01346010101475592,1433,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7877428998505231,0.7912471022081398,0.004489302585739661
0.0102156400680542,0.001088005030553585,0.005730271339416504,0.0008266538164488752,0.01,,False,5.0,l1,42,liblinear,0.0001,False,,,"{'C': 0.01, 'class_weight': None, 'fit_intercept': False, 'intercept_scaling': 5, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'warm_start': False}",0.7802690582959642,0.8071748878923767,0.7757847533632287,0.8018018018018018,0.791257625338343,0.01346010101475592,1433,0.7949101796407185,0.7859281437125748,0.7964071856287425,0.7877428998505231,0.7912471022081398,0.004489302585739661
